rank_cohens_d,feature,in_model,n_fraud,n_legit,mean_fraud,mean_legit,median_fraud,median_legit,u_statistic,p_value,p_adjusted,significant,cohens_d,abs_cohens_d,effect_size,cliffs_delta,abs_cliffs_delta,cliff_size,pearson_r,rank_cliffs_delta,rank_pearson
1,V17,True,473,283253,-6.463285283202743,0.010963389701460647,-5.15759639749234,-0.0650960876815335,26732456.0,2.854261096387558e-113,7.784348444693339e-113,True,-8.092437571015354,8.092437571015354,lớn,-0.6009445951429776,0.6009445951429776,lớn,-0.31349827295568244,11,1
2,V14,True,473,283253,-6.835946034242057,0.011667983931694605,-6.59055029705192,0.0514861257401475,7082225.0,2.304859049719335e-248,6.914577149158004e-247,True,-7.522232814043625,7.522232814043625,lớn,-0.8942783197823827,0.8942783197823827,lớn,-0.2933753847900375,1,2
3,V12,True,473,283253,-6.103254016904439,0.009475752444318754,-5.43735368941346,0.140572558691035,8781437.0,1.358343782132312e-234,1.3583437821323118e-233,True,-6.348196022814036,6.348196022814036,lớn,-0.8689129088153578,0.8689129088153578,lớn,-0.25071117720572444,3,3
4,V10,True,473,283253,-5.453274110501309,0.007663225565805389,-4.46628416302479,-0.0921203203519372,11980128.0,9.598036358821476e-210,5.758821815292886e-209,True,-5.185574083453133,5.185574083453133,lớn,-0.821163651058513,0.821163651058513,lớn,-0.20697123823505995,5,4
5,V16,True,473,283253,-4.000956270761194,0.007845091011250985,-3.30289861059986,0.0680997334634761,21244264.0,1.1105055547481082e-145,4.164395830305406e-145,True,-4.6708755396154045,4.6708755396154045,lớn,-0.6828709501510274,0.6828709501510274,lớn,-0.18718605284536483,8,5
6,V3,True,473,283253,-6.729598957711674,0.012853470958343296,-4.87539667887196,0.182247352316482,12240264.0,8.73865641883307e-208,4.3693282094165344e-207,True,-4.54527766972233,4.54527766972233,lớn,-0.8172804060323962,0.8172804060323962,lớn,-0.18232224748340742,6,6
7,V7,True,473,283253,-5.175912109207488,0.010446877877581829,-2.90207924674704,0.0416638274441651,22826763.0,6.513087124630184e-136,1.9539261373890553e-135,True,-4.288743314458526,4.288743314458526,lớn,-0.659247801603403,0.659247801603403,lớn,-0.17234653244006437,10,7
8,V11,True,473,283253,3.7163466122536013,-0.006003777751483107,3.52572598717089,-0.0344457726991689,122566787.0,4.678414391392784e-214,3.5088107935445875e-213,True,3.6952279658035603,3.6952279658035603,lớn,0.8296462849619741,0.8296462849619741,lớn,0.1490671036700986,4,8
9,V4,True,473,283253,4.472591015834153,-0.010439974774329853,4.10009796977678,-0.0244996778483201,125438246.0,1.5992207470091923e-236,2.3988311205137885e-235,True,3.1968892480700872,3.1968892480700872,lớn,0.8725107054168451,0.8725107054168451,lớn,0.12932583072677223,2,9
10,V18,True,473,283253,-2.157070884519879,0.0051197569658972516,-1.41791682839858,-0.001436202543504,35744597.0,5.452518202711613e-69,1.0905036405423225e-68,True,-2.596539587560992,2.596539587560992,lớn,-0.4664136124534869,0.4664136124534869,trung bình,-0.10533971521707602,15,10
