model,strategy,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,threshold,recall,precision,f1,tp,fp,fn,alerts_per_day,expected_cost,n_distinct_scores,seconds_per_fold,total_seconds,che_do
xgboost,class_weight,0.8548915146156496,0.0300893772695179,0.9823693849009396,0.0081316691917876,0.0232113963839683,0.8518518518518519,0.7015250544662309,0.7694145758661887,322,137,56,286.87601110229974,7528.759999999999,221674,7.229356079996796,36.14678039998398,đầy đủ
random_forest,smote,0.8548834848337764,0.0311126384991895,0.975519411133769,0.0093733513997946,0.19,0.8544973544973545,0.6659793814432989,0.7485515643105445,323,162,55,303.1260683760684,7531.549999999999,219,73.62273208000116,368.11366040000576,đầy đủ
random_forest,smote_tomek,0.8548834848337764,0.0311126384991895,0.975519411133769,0.0093733513997946,0.19,0.8544973544973545,0.6659793814432989,0.7485515643105445,323,162,55,303.1260683760684,7531.549999999999,219,130.40156035999536,652.0078017999767,đầy đủ
xgboost,smote,0.8529126563481728,0.0297047037922265,0.9800975232344704,0.0059514111842829,0.0336498158673445,0.8518518518518519,0.6376237623762376,0.7293318233295584,322,183,56,315.62611243281344,7758.759999999999,222236,8.948751339997397,44.74375669998699,đầy đủ
xgboost,smote_tomek,0.8529126563481728,0.0297047037922265,0.9800975232344704,0.0059514111842829,0.0336498158673445,0.8518518518518519,0.6376237623762376,0.7293318233295584,322,183,56,315.62611243281344,7758.759999999999,222236,65.10045769999851,325.5022884999926,đầy đủ
xgboost,none,0.8514165999849641,0.0301515914556239,0.9831258642111268,0.0053977409626404,0.046816665904991,0.8412698412698413,0.8664850136239782,0.8536912751677852,318,49,60,229.3758084412724,7577.599999999999,221544,6.684819459996652,33.42409729998326,đầy đủ
random_forest,none,0.8405639463193209,0.0333121541421492,0.9533405529593876,0.0195713289338198,0.0766666666666666,0.8518518518518519,0.6865671641791045,0.7603305785123967,322,147,56,293.1260331306723,7578.759999999999,207,79.68090039999807,398.4045019999903,đầy đủ
random_forest,class_weight,0.8403554417761893,0.0285118775621717,0.9694822542001336,0.010409362327356,0.1233333333333333,0.8518518518518519,0.7108167770419426,0.7749699157641396,322,131,56,283.1259978852762,7498.759999999999,200,31.74804901999887,158.74024509999435,đầy đủ
xgboost,undersample,0.7811190752433683,0.0690675579945001,0.9815380993037496,0.0091716924815985,0.8683996092189444,0.8359788359788359,0.6884531590413944,0.7550776583034647,316,143,62,286.87601110229974,8292.02,221912,1.066252379998332,5.3312618999916594,đầy đủ
random_forest,undersample,0.7586097563816357,0.04457132670954,0.9758024177080892,0.0103402191370957,0.5858922558922617,0.8518518518518519,0.696969696969697,0.7666666666666667,322,140,56,288.75101771081154,7543.759999999999,269,1.2486810000031254,6.243405000015628,đầy đủ
logistic_regression,none,0.757776594406589,0.0305213952513288,0.9768292460901294,0.0140256993047985,0.0167180518218526,0.8544973544973545,0.541038525963149,0.6625641025641025,323,274,55,373.1263150938408,8091.549999999999,226318,3.0232944199990017,15.116472099995008,đầy đủ
logistic_regression,smote,0.7572080161370829,0.0234695508321478,0.9784475082264528,0.0092859418955364,0.6140712784597707,0.8597883597883598,0.5443886097152428,0.6666666666666666,325,272,53,373.1263150938408,7837.13,226308,2.665540120005608,13.327700600028038,đầy đủ
logistic_regression,smote_tomek,0.7572080161370829,0.0234695508321478,0.9784475082264528,0.0092859418955364,0.6140712784597707,0.8597883597883598,0.5443886097152428,0.6666666666666666,325,272,53,373.1263150938408,7837.13,226308,58.15699333999655,290.7849666999828,đầy đủ
logistic_regression,class_weight,0.7415803098900638,0.0293831741573202,0.9801651412697464,0.0090734332338688,0.9717213732869524,0.8571428571428571,0.5046728971962616,0.6352941176470588,324,318,54,401.2514142215173,8189.339999999999,226109,4.36013259999454,21.8006629999727,đầy đủ
logistic_regression,undersample,0.7185148221032489,0.0205920440274179,0.9824993026648215,0.0075907352842965,0.61729124717186,0.8571428571428571,0.4153846153846154,0.5595854922279794,324,456,54,487.5017182130584,8879.34,226280,0.2128910599974915,1.0644552999874577,đầy đủ
decision_tree,none,0.6947886495222747,0.037351214950271,0.8704721815961776,0.0107645266847588,0.5,0.7804232804232805,0.8858858858858859,0.8298171589310829,295,38,83,208.1257335448057,10333.43,30,4.859132800000952,24.295664000004763,đầy đủ
decision_tree,smote,0.6404417629434802,0.0395240275763859,0.9361706079438908,0.0235510932348944,0.803030303030303,0.8174603174603174,0.6702819956616052,0.7365911799761622,309,152,69,288.1260155079743,9192.49,97,5.713998659997015,28.56999329998507,đầy đủ
decision_tree,smote_tomek,0.6404417629434802,0.0395240275763859,0.9361706079438908,0.0235510932348944,0.803030303030303,0.8174603174603174,0.6702819956616052,0.7365911799761622,309,152,69,288.1260155079743,9192.49,97,55.14099869999918,275.7049934999959,đầy đủ
decision_tree,class_weight,0.3586175994374213,0.1166966827925674,0.8781519652659802,0.0530141796586833,0.994327528734828,0.7962962962962963,0.3684210526315789,0.5037656903765689,301,516,77,510.6267997180368,11990.17,55,5.150227759999689,25.751138799998444,đầy đủ
decision_tree,undersample,0.2405334026492414,0.0528926956643448,0.917677832378913,0.0256754724635089,0.75,0.8386243386243386,0.2643869891576313,0.4020291693088142,317,882,61,749.377641201868,11864.81,23,0.1849761200021021,0.9248806000105104,đầy đủ
