model,strategy,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,threshold,recall,precision,f1,tp,fp,fn,alerts_per_day,expected_cost,n_distinct_scores,seconds_per_fold,total_seconds
logistic_regression,none,0.7655551640609024,0.19019385181427792,0.9500626043405676,0.09058257975464303,0.16670959146329634,0.8,0.8,0.8000000000000002,16,4,4,236.43833333333333,508.84,11999,0.09269308000220917,0.46346540001104586
logistic_regression,class_weight,0.6466184722801274,0.09654477072494297,0.9436143572621034,0.07654783022369514,0.990961453542295,0.75,0.46875,0.5769230769230769,15,17,5,378.30133333333333,696.05,11995,0.15314021999947727,0.7657010999973863
logistic_regression,undersample,0.6462406730928439,0.1564671420030183,0.9305091819699498,0.13134144302916184,0.7158017394122292,0.8,0.32653061224489793,0.46376811594202894,16,33,4,579.2739166666667,653.8399999999999,11999,0.02729473999934271,0.13647369999671355
logistic_regression,smote,0.6649047760399446,0.12159464969130102,0.9534223706176961,0.07395750700379342,0.9905206127661998,0.75,0.75,0.75,15,5,5,236.43833333333333,636.05,11994,0.18557033999823033,0.9278516999911517
logistic_regression,smote_tomek,0.6649047760399446,0.12159464969130102,0.9534223706176961,0.07395750700379342,0.9905206127661998,0.75,0.75,0.75,15,5,5,236.43833333333333,636.05,11994,0.3073951800004579,1.5369759000022896
decision_tree,none,0.5896666666666668,0.1696866802210605,0.8498434891485811,0.09349970082276383,0.5,0.7,0.8235294117647058,0.7567567567567567,14,3,6,200.97258333333332,748.26,3,0.1351014000014402,0.675507000007201
decision_tree,class_weight,0.34391666666666665,0.07289290088890686,0.8243530884808014,0.06088067280215939,0.5,0.65,0.48148148148148145,0.553191489361702,13,14,7,319.19174999999996,925.4699999999999,6,0.09080736000323668,0.4540368000161834
decision_tree,undersample,0.04085342067277008,0.019618522393966113,0.8851836393989985,0.05269740381085929,0.5,0.8,0.0431266846361186,0.08184143222506395,16,355,4,4385.931083333333,2263.84,2,0.02804089999990538,0.1402044999995269
decision_tree,smote,0.3921687669087285,0.14263680772148132,0.8220262938230384,0.09815547181115154,0.968966776195694,0.7,0.5,0.5833333333333334,14,14,6,331.01366666666667,803.26,24,0.19699289999553002,0.9849644999776501
decision_tree,smote_tomek,0.3921687669087285,0.14263680772148132,0.8220262938230384,0.09815547181115154,0.968966776195694,0.7,0.5,0.5833333333333334,14,14,6,331.01366666666667,803.26,24,0.3466327200003434,1.733163600001717
random_forest,none,0.7865555555555556,0.18552048487604267,0.9462750417362269,0.06451116987272175,0.14121212121212143,0.8,0.7272727272727273,0.761904761904762,16,6,4,260.08216666666664,518.8399999999999,51,0.9984773800009862,4.992386900004931
random_forest,class_weight,0.8000404040404039,0.17895394997060168,0.9443447412353922,0.0669441422094698,0.17774410774410854,0.8,0.8888888888888888,0.8421052631578948,16,2,4,212.7945,498.84,53,0.8982677200052421,4.491338600026211
random_forest,undersample,0.7274318287359525,0.19157560885539507,0.9520972454090149,0.07521095377973323,0.5403030303030304,0.8,0.7272727272727273,0.761904761904762,16,6,4,260.08216666666664,518.8399999999999,157,0.6203114200034179,3.1015571000170894
random_forest,smote,0.8085188764420096,0.177026414209727,0.9651606844741234,0.056121826292457884,0.33542087542087606,0.8,0.8421052631578947,0.8205128205128205,16,3,4,224.61641666666665,503.84,77,1.2349973400007002,6.174986700003501
random_forest,smote_tomek,0.8085188764420096,0.177026414209727,0.9651606844741234,0.056121826292457884,0.33542087542087606,0.8,0.8421052631578947,0.8205128205128205,16,3,4,224.61641666666665,503.84,77,1.6944430000032298,8.47221500001615
xgboost,none,0.7471739323055113,0.2098150380278006,0.9803839732888147,0.03116490493274182,0.027981222127423218,0.8,0.64,0.7111111111111111,16,9,4,295.54791666666665,533.8399999999999,11946,0.7660904599993955,3.8304522999969777
xgboost,class_weight,0.7252847709364283,0.18714305398425252,0.9595784641068448,0.07294429903172533,0.05654370931513393,0.8,0.64,0.7111111111111111,16,9,4,295.54791666666665,533.8399999999999,11930,0.7887928000011015,3.943964000005508
xgboost,undersample,0.669684789385854,0.19142922384303337,0.9593906510851419,0.06664725966082627,0.8211636103764932,0.75,0.6,0.6666666666666665,15,10,5,295.54791666666665,661.05,11638,0.3061249600024894,1.530624800012447
xgboost,smote,0.7574137610468221,0.2187069245026959,0.9775250417362271,0.027706505598491336,0.12186714224141067,0.8,0.8,0.8000000000000002,16,4,4,236.43833333333333,508.84,11961,0.8417292199970688,4.208646099985344
xgboost,smote_tomek,0.7574137610468221,0.2187069245026959,0.9775250417362271,0.027706505598491336,0.12186714224141067,0.8,0.8,0.8000000000000002,16,4,4,236.43833333333333,508.84,11961,1.1308419000008143,5.654209500004072
