rank,pr_auc_mean,pr_auc_std,pr_auc_train,overfit_gap,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,min_child_weight,fit_seconds
1,0.8538435746723853,0.0327765931726871,1.0,0.14615642532761475,750,6,0.08974255743856958,0.9350840423629312,0.6905983100791752,10.0,9,68.96817045211792
2,0.8536153271011105,0.03190972316286626,1.0,0.14638467289888946,761,5,0.05388108577817234,0.902144564127061,0.6488152939379115,599.5,1,135.67869601249694
3,0.8531709381465518,0.03221708542870165,1.0,0.14682906185344824,602,7,0.056321111202236006,0.8048372233197124,0.6602870175861718,10.0,3,82.8530339717865
4,0.8531264069384429,0.03105767288747888,0.9999824854012818,0.14685607846283888,330,7,0.04768329952832197,0.6225646316108401,0.6399899663272012,10.0,4,50.89349112510681
5,0.8530239802812885,0.028947505456466856,0.9997717248137556,0.1467477445324672,676,6,0.02028406763400795,0.9369139098379994,0.7700623497964979,100.0,6,121.46505708694458
6,0.8529610808498166,0.03143859783835741,1.0,0.1470389191501834,661,6,0.03834288724218001,0.8083337040103294,0.7799016533479063,100.0,8,109.47789673805237
7,0.8529497178026114,0.029585320723769973,0.9999956214646947,0.14704590366208325,606,6,0.029130095015495922,0.7641531692142519,0.8545641645055122,100.0,5,169.28976316452025
8,0.8526505568203344,0.03060930677664667,1.0,0.14734944317966558,443,5,0.14447746112718687,0.786705157299192,0.7824279936868144,599.5,7,67.19213848114013
9,0.8525487605191465,0.030660847249365436,1.0,0.14745123948085348,710,8,0.08589984533104164,0.9193380499938204,0.7471132530877013,599.5,6,85.82750577926636
10,0.8517255380564659,0.0312793865539418,1.0,0.1482744619435341,252,8,0.08649955121393718,0.7791132658292367,0.7380284992106732,599.5,2,41.09436554908753
11,0.8516984251238331,0.025450525773876916,0.9998045905877608,0.14810616546392774,204,7,0.049833191601257244,0.6943939678995823,0.9548850970305306,10.0,3,60.21594386100769
12,0.8515809045987931,0.028644592973140582,0.9981464440586807,0.1465655394598876,585,6,0.023717223971324284,0.7203513239267079,0.6259568988435926,100.0,7,78.0724748134613
13,0.8511981006243227,0.0320660356766599,1.0,0.14880189937567734,252,7,0.17679863115599698,0.7427013306774357,0.9844688097397396,599.5,2,44.33698797225952
14,0.851057426245022,0.028775093420617927,0.9788593975601507,0.12780197131512872,671,5,0.025000844824995944,0.7615344684232164,0.8769744131561081,1.0,6,83.04069256782532
15,0.8492920521972991,0.027456835692866416,1.0,0.15070794780270091,360,4,0.24341994231042283,0.8446612641953124,0.8887995089067299,599.5,5,44.6658540725708
16,0.84918030235806,0.03275850203881662,1.0,0.15081969764194003,227,4,0.2334848553346559,0.9400154311159197,0.8423839899124046,100.0,9,36.45684680938721
17,0.848148717948846,0.028825333429840522,1.0,0.15185128205115395,530,8,0.08622121759478739,0.922976062065625,0.9232481518257668,599.5,4,81.05165910720825
18,0.846580370446909,0.02916261239323554,0.9993975961026148,0.15281722565570577,720,3,0.06333268775321843,0.7579526072702278,0.7123738038749523,599.5,1,88.28049001693725
19,0.8455578052703272,0.030390007301385063,0.9951909826977705,0.1496331774274433,539,4,0.037094276752507684,0.7760609974958406,0.8253152871382157,599.5,5,89.5802119731903
20,0.8444343956808356,0.028840383361366524,1.0,0.15556560431916444,220,5,0.2536999076681772,0.7783331011414365,0.749816047538945,100.0,8,30.937745523452758
21,0.8443196161286359,0.026300345494808548,0.9873822101693648,0.14306259404072885,322,5,0.07507320006113874,0.8912865394447438,0.8211572356285312,1.0,8,41.410480976104736
22,0.84264697744911,0.034443304690633406,0.9999913147795304,0.15734433733042041,610,8,0.18681142751959703,0.7939319885435933,0.9272059063689972,1.0,8,88.40680632591247
23,0.8406737696888544,0.03171430200897076,0.9984990960454967,0.15782532635664226,473,3,0.10113389297817889,0.9768807022739411,0.9439761626945282,599.5,7,60.97624311447144
24,0.8374181817544126,0.025518107749930734,0.9730695002633862,0.1356513185089736,576,3,0.02949372944095386,0.7708431154505025,0.9584365199693973,100.0,1,106.17466373443604
25,0.8273424979565647,0.029156838320901938,0.9678669663098024,0.14052446835323773,591,5,0.010490534235091775,0.9160702162124823,0.7173952698872152,100.0,1,80.43614377975464
26,0.8273119242173855,0.031033171406587325,0.946595565832148,0.11928364161476246,660,4,0.011474276591948267,0.6125716742746937,0.7024273291045295,100.0,10,159.38013257980347
27,0.8154079796297704,0.03184119796599189,0.8787313040153297,0.06332332438555932,419,3,0.011336695817840537,0.6132202931602193,0.713936197750987,10.0,2,41.10335001945496
28,0.8130586956760986,0.03680340734659467,0.9545881652913026,0.14152946961520407,298,8,0.013833507535062186,0.8550229885420852,0.7797802696552814,599.5,8,90.1528217792511
29,0.8122783510338897,0.029746550208443603,0.9402201588503335,0.12794180781644382,675,5,0.010815983055225093,0.7465447373174767,0.6028265220878869,599.5,10,100.24920473098754
30,0.8120372967636591,0.028872113667744403,0.952654314758784,0.14061701799512494,285,5,0.021775224101934068,0.9718790609370292,0.9022204554172195,599.5,3,76.96871676445008
